transaction_id,amount,hour,merchant_risk,distance_from_home,previous_txn_count_24h,foreign_transaction,card_present,is_fraud
TXN-00100,74.95,21,0.042,39.1,1,0,1,0
TXN-00101,62.52,22,0.134,15.5,2,0,0,0
TXN-00102,6.08,19,0.128,23.1,2,0,1,0
TXN-00103,27.93,6,0.305,4.4,0,0,0,0
TXN-00104,26.97,15,0.206,1.7,3,0,1,1
TXN-00105,110.28,12,0.146,5.3,1,0,1,0
TXN-00106,59.73,14,0.147,57.2,1,0,1,0
TXN-00107,83.31,14,0.246,14.8,3,0,0,1
TXN-00108,44.74,15,0.139,9.7,1,1,0,0
TXN-00109,86.18,12,0.457,17.9,1,0,0,0
TXN-00110,51.63,16,0.386,20.4,0,0,1,0
TXN-00111,48.79,12,0.24,20.5,1,0,0,0
TXN-00112,66.68,0,0.335,7.4,3,0,1,1
TXN-00113,62.52,0,0.246,88.8,2,0,1,0
TXN-00114,262.04,22,0.321,4.5,1,0,1,1
TXN-00115,27.65,21,0.18,37.5,0,0,0,0
TXN-00116,14.05,14,0.555,9.9,4,0,1,0
TXN-00117,73.79,4,0.479,15.6,3,0,1,0
TXN-00118,31.2,18,0.015,17.7,1,1,1,0
TXN-00119,5.16,3,0.104,3.2,1,0,1,0
TXN-00120,22.29,9,0.26,5.9,4,1,1,0
TXN-00121,226.13,7,0.309,19.2,3,0,0,1
TXN-00122,27.01,0,0.107,30.5,0,0,1,0
TXN-00123,9.5,19,0.353,15.8,1,0,1,0
TXN-00124,217.13,12,0.14,43.7,0,0,1,1
TXN-00125,21.48,7,0.233,10.7,2,0,1,0
TXN-00126,312.68,12,0.235,8.4,5,1,1,1
TXN-00127,43.23,0,0.114,31.5,5,0,1,0
TXN-00128,176.5,10,0.257,0.8,2,0,1,0
TXN-00129,47.94,12,0.132,30.4,3,1,1,1
TXN-00130,80.27,8,0.087,5.3,1,0,0,0
TXN-00131,52.49,19,0.031,17.4,1,0,1,0
TXN-00132,48.22,5,0.334,0.3,3,0,1,0
TXN-00133,69.47,3,0.259,7.1,1,0,0,0
TXN-00134,82.34,12,0.233,51.6,2,0,1,0
TXN-00135,65.64,21,0.103,21.5,4,0,0,1
TXN-00136,60.77,9,0.149,6.0,2,0,0,0
TXN-00137,31.43,1,0.266,3.6,3,0,0,0
TXN-00138,54.05,23,0.145,9.2,8,0,1,0
TXN-00139,162.22,10,0.414,4.3,1,1,0,1
TXN-00140,30.2,4,0.324,38.8,3,0,1,0
TXN-00141,70.95,14,0.215,18.7,1,0,1,0
TXN-00142,130.4,7,0.25,18.3,2,0,0,0
TXN-00143,82.83,22,0.337,41.2,0,0,1,1
TXN-00144,111.08,7,0.479,17.9,2,0,0,0
TXN-00145,21.17,13,0.451,90.8,1,0,1,0
TXN-00146,71.08,13,0.089,8.0,2,0,1,1
TXN-00147,46.1,5,0.131,17.0,2,0,1,0
TXN-00148,47.67,11,0.086,4.9,1,0,0,0
TXN-00149,153.28,2,0.326,14.1,1,0,1,0
TXN-00150,48.27,15,0.4,10.2,0,0,0,1
TXN-00151,72.76,18,0.134,3.5,2,0,1,0
TXN-00152,9.52,22,0.168,5.7,0,0,0,0
TXN-00153,176.37,7,0.132,8.0,5,0,1,1
TXN-00154,106.72,6,0.091,12.8,2,0,0,0
TXN-00155,55.61,13,0.564,21.8,1,0,1,0
TXN-00156,44.49,16,0.204,7.5,0,0,1,0
TXN-00157,88.82,23,0.281,4.6,1,0,0,1
TXN-00158,129.35,0,0.519,35.6,3,0,1,0
TXN-00159,177.94,5,0.487,50.0,2,0,1,1
TXN-00160,104.31,6,0.065,10.9,3,0,0,0
TXN-00161,61.39,6,0.191,10.9,2,0,0,0
TXN-00162,115.45,11,0.268,1.1,0,0,0,0
TXN-00163,101.31,20,0.455,5.7,1,1,0,0
TXN-00164,61.57,0,0.23,5.1,1,0,0,0
TXN-00165,99.26,19,0.076,15.1,2,0,1,0
TXN-00166,97.98,14,0.186,2.5,6,0,1,0
TXN-00167,55.36,14,0.016,7.2,0,0,0,0
TXN-00168,37.91,16,0.273,23.2,3,0,1,0
TXN-00169,92.14,2,0.31,20.2,3,0,1,0
TXN-00170,23.47,17,0.206,6.4,0,0,1,0
TXN-00171,18.82,5,0.388,2.6,2,0,1,0
TXN-00172,73.6,12,0.09,7.0,2,0,0,0
TXN-00173,90.39,16,0.269,12.8,1,0,1,0
TXN-00174,73.2,14,0.136,13.9,2,0,0,0
TXN-00175,79.1,7,0.143,1.7,3,0,0,1
TXN-00176,89.31,9,0.135,8.4,1,0,1,0
TXN-00177,153.67,11,0.275,33.5,0,0,1,1
TXN-00178,105.56,0,0.237,52.2,3,0,1,0
TXN-00179,103.37,17,0.227,53.4,2,0,1,1
TXN-00180,69.5,2,0.331,1.5,2,0,1,0
TXN-00181,71.42,11,0.188,47.4,1,0,1,1
TXN-00182,51.92,15,0.18,28.6,2,0,0,0
TXN-00183,77.43,1,0.453,18.8,0,0,1,0
TXN-00184,22.39,23,0.093,11.9,0,0,1,0
TXN-00185,154.14,9,0.118,5.0,1,0,1,0
TXN-00186,28.51,0,0.435,16.1,0,0,0,0
TXN-00187,105.41,15,0.343,2.3,1,0,1,1
TXN-00188,141.34,13,0.161,1.1,1,0,1,0
TXN-00189,105.24,15,0.134,45.3,3,0,0,0
TXN-00190,239.38,18,0.145,5.0,2,0,1,1
TXN-00191,6.56,11,0.362,41.9,2,0,1,0
TXN-00192,40.0,19,0.187,3.2,2,0,1,0
TXN-00193,139.77,8,0.104,5.4,2,0,0,0
TXN-00194,18.09,13,0.328,3.7,0,0,0,0
TXN-00195,29.31,3,0.093,9.8,5,0,1,0
TXN-00196,85.37,14,0.164,35.0,1,0,0,0
TXN-00197,60.82,6,0.377,42.4,3,0,0,1
TXN-00198,81.65,16,0.246,12.0,2,0,0,0
TXN-00199,64.81,19,0.52,20.0,2,0,0,0
TXN-00200,69.32,20,0.195,1.8,1,0,0,1
TXN-00201,31.93,22,0.177,1.7,3,0,1,0
TXN-00202,67.68,2,0.153,29.9,1,0,1,0
TXN-00203,42.29,3,0.327,9.4,1,0,0,1
TXN-00204,47.13,22,0.213,25.5,2,0,1,0
TXN-00205,104.42,9,0.294,9.7,0,0,1,0
TXN-00206,17.17,0,0.102,13.9,2,0,0,0
TXN-00207,3.66,6,0.341,17.5,1,0,0,0
TXN-00208,99.17,20,0.258,11.0,0,0,0,0
TXN-00209,67.73,8,0.232,9.1,3,0,0,0
TXN-00210,141.24,1,0.145,9.0,1,0,1,1
TXN-00211,30.02,17,0.405,2.6,0,0,0,0
TXN-00212,54.01,4,0.303,21.8,1,0,0,0
TXN-00213,62.6,8,0.23,3.0,1,0,1,0
TXN-00214,35.39,0,0.067,4.2,1,0,1,0
TXN-00215,26.7,14,0.239,9.8,1,0,0,1
TXN-00216,102.7,10,0.223,9.9,2,0,1,0
TXN-00217,15.52,20,0.137,8.6,1,1,1,0
TXN-00218,22.82,8,0.159,31.4,2,0,1,0
TXN-00219,52.61,4,0.36,6.4,1,0,1,0
TXN-00220,111.14,3,0.193,37.6,0,0,1,0
TXN-00221,37.38,4,0.09,16.0,2,0,0,0
TXN-00222,33.48,10,0.199,14.7,3,0,1,0
TXN-00223,50.19,2,0.084,17.1,3,0,0,0
TXN-00224,76.26,9,0.156,4.2,6,0,1,0
TXN-00225,44.18,20,0.653,16.6,1,0,1,0
TXN-00226,121.06,18,0.211,29.7,4,0,1,0
TXN-00227,124.58,15,0.275,20.3,3,0,0,1
TXN-00228,52.61,21,0.225,1.7,3,0,0,0
TXN-00229,198.35,18,0.079,8.6,2,0,1,0
TXN-00230,61.52,15,0.223,0.5,0,0,0,0
TXN-00231,121.73,20,0.197,8.0,2,0,1,1
TXN-00232,74.71,2,0.427,2.8,1,0,1,0
TXN-00233,73.7,19,0.157,11.1,0,0,0,0
TXN-00234,11.95,7,0.379,0.6,2,0,1,0
TXN-00235,21.01,17,0.121,49.1,2,0,0,0
TXN-00236,46.06,21,0.258,7.1,2,0,1,0
TXN-00237,123.94,11,0.084,26.0,2,0,0,1
TXN-00238,75.5,2,0.286,4.5,3,0,1,0
TXN-00239,46.4,8,0.116,22.9,2,0,1,0
TXN-00240,91.02,9,0.046,7.7,1,0,1,0
TXN-00241,120.82,22,0.112,17.3,2,1,0,1
TXN-00242,58.62,22,0.272,49.4,1,0,1,0
TXN-00243,69.0,13,0.206,19.6,4,0,1,1
TXN-00244,62.57,22,0.055,2.6,1,1,1,0
TXN-00245,55.81,10,0.258,40.4,2,1,1,0
TXN-00246,29.73,9,0.211,23.8,1,0,1,0
TXN-00247,27.7,20,0.116,35.3,1,0,0,0
TXN-00248,90.62,16,0.156,41.0,0,0,1,0
TXN-00249,122.4,12,0.214,5.5,2,1,1,1
TXN-00250,46.33,10,0.202,7.2,2,0,1,0
TXN-00251,45.47,16,0.143,25.8,3,0,1,0
TXN-00252,8.54,18,0.152,1.0,2,0,1,0
TXN-00253,6.7,11,0.09,6.8,0,1,1,0
TXN-00254,144.21,0,0.134,7.8,1,0,1,0
TXN-00255,31.49,2,0.06,36.3,6,0,0,0
TXN-00256,250.29,3,0.06,51.3,1,0,1,1
TXN-00257,36.53,11,0.118,2.9,1,0,1,0
TXN-00258,12.41,14,0.266,12.4,1,0,1,0
TXN-00259,62.94,19,0.19,23.6,2,0,0,0
TXN-00260,101.86,5,0.286,7.5,2,0,0,1
TXN-00261,94.04,18,0.216,13.7,2,0,1,0
TXN-00262,109.03,15,0.258,4.7,1,0,1,0
TXN-00263,24.56,1,0.118,26.2,2,0,1,0
TXN-00264,141.9,8,0.112,25.6,2,0,0,0
TXN-00265,147.53,7,0.183,10.1,0,0,1,0
TXN-00266,151.87,21,0.217,7.7,2,1,1,1
TXN-00267,70.8,22,0.108,5.6,2,0,1,0
TXN-00268,43.47,19,0.154,1.3,1,1,1,0
TXN-00269,40.32,12,0.128,14.6,1,0,1,0
TXN-00270,12.33,11,0.578,37.4,2,0,1,0
TXN-00271,37.22,7,0.233,2.3,2,0,0,0
TXN-00272,3.25,18,0.218,9.5,4,0,0,0
TXN-00273,10.5,2,0.128,38.4,6,0,1,0
TXN-00274,70.25,6,0.008,30.3,3,0,1,0
TXN-00275,47.62,3,0.327,23.3,2,0,0,0
TXN-00276,68.01,11,0.076,0.3,2,0,0,0
TXN-00277,96.46,7,0.151,20.2,0,0,0,0
TXN-00278,77.52,4,0.072,6.4,3,0,0,1
TXN-00279,72.78,9,0.353,25.8,0,0,1,0
TXN-00280,54.49,20,0.306,4.5,4,0,1,0
TXN-00281,30.48,13,0.056,0.1,1,0,1,0
TXN-00282,18.24,19,0.097,12.6,4,0,1,0
TXN-00283,38.06,21,0.197,6.1,0,0,1,0
TXN-00284,55.2,21,0.018,15.8,3,1,1,0
TXN-00285,60.67,8,0.025,5.9,1,0,1,0
TXN-00286,109.19,21,0.131,26.9,1,0,1,0
TXN-00287,51.41,21,0.339,12.4,3,0,0,0
TXN-00288,86.79,23,0.112,5.3,0,0,1,0
TXN-00289,14.32,8,0.324,22.7,5,0,1,0
TXN-00290,70.99,5,0.223,42.9,2,0,1,1
TXN-00291,67.34,14,0.139,41.0,1,0,1,0
TXN-00292,141.93,22,0.307,68.5,2,0,1,0
TXN-00293,47.65,21,0.107,21.2,2,0,1,0
TXN-00294,46.04,13,0.278,17.1,5,0,1,1
TXN-00295,96.93,3,0.407,1.4,3,0,0,1
TXN-00296,19.68,10,0.126,4.6,1,0,1,0
TXN-00297,69.63,17,0.041,6.5,2,0,1,0
TXN-00298,18.7,13,0.014,13.9,3,0,0,0
TXN-00299,185.39,8,0.128,31.1,1,0,1,0
TXN-00300,41.2,8,0.144,11.0,1,0,0,0
TXN-00301,17.48,1,0.181,5.2,0,0,1,0
TXN-00302,37.83,6,0.236,9.0,1,0,1,0
TXN-00303,69.95,16,0.199,0.7,0,0,1,0
TXN-00304,84.86,5,0.107,5.5,1,0,1,0
TXN-00305,136.95,23,0.085,0.8,2,0,0,0
TXN-00306,34.04,1,0.064,13.1,3,0,1,1
TXN-00307,100.04,14,0.231,47.2,3,0,1,0
TXN-00308,10.51,11,0.29,9.8,0,0,1,1
TXN-00309,22.97,19,0.082,25.3,2,0,0,0
TXN-00310,14.75,21,0.275,21.0,2,0,1,0
TXN-00311,28.95,13,0.144,17.4,0,0,1,0
TXN-00312,96.9,15,0.213,32.4,2,0,0,1
TXN-00313,34.76,16,0.375,15.2,1,0,1,0
TXN-00314,40.6,12,0.182,17.6,1,0,1,0
TXN-00315,71.35,4,0.076,7.5,2,0,1,0
TXN-00316,82.32,10,0.061,24.5,2,0,1,0
TXN-00317,41.64,5,0.201,3.8,2,0,0,1
TXN-00318,22.82,11,0.1,22.5,0,0,1,0
TXN-00319,165.6,14,0.341,69.2,4,0,0,1
TXN-00320,41.87,5,0.125,5.4,3,0,1,0
TXN-00321,45.4,5,0.199,24.4,2,0,1,0
TXN-00322,50.17,19,0.227,25.4,2,1,1,0
TXN-00323,88.63,9,0.468,1.3,2,0,1,0
TXN-00324,13.51,4,0.118,20.2,0,0,1,0
TXN-00325,208.93,17,0.211,12.9,0,0,1,0
TXN-00326,44.38,17,0.239,11.4,0,0,1,0
TXN-00327,90.78,19,0.163,37.5,2,0,0,0
TXN-00328,17.69,18,0.126,6.9,2,1,1,0
TXN-00329,66.08,23,0.078,69.3,2,1,1,1
TXN-00330,188.0,13,0.293,12.8,1,0,1,1
TXN-00331,170.81,6,0.318,1.4,5,0,1,1
TXN-00332,89.1,20,0.264,1.7,3,0,1,0
TXN-00333,27.22,6,0.39,31.0,1,0,0,0
TXN-00334,132.06,6,0.227,26.1,1,0,1,0
TXN-00335,10.42,19,0.089,21.6,1,0,1,0
TXN-00336,26.32,21,0.171,1.6,4,0,1,1
TXN-00337,54.72,8,0.068,18.2,0,0,1,0
TXN-00338,11.55,17,0.131,99.5,6,0,1,1
TXN-00339,37.76,22,0.334,25.8,1,0,1,0
TXN-00340,101.47,19,0.268,5.2,0,1,1,0
TXN-00341,31.66,0,0.079,26.9,3,0,1,0
TXN-00342,104.84,15,0.469,1.3,2,0,0,0
TXN-00343,245.8,4,0.08,6.6,2,0,1,1
TXN-00344,77.66,20,0.213,42.9,1,0,1,1
TXN-00345,103.57,1,0.288,27.9,0,0,1,0
TXN-00346,135.14,23,0.31,27.0,1,0,1,0
TXN-00347,40.79,4,0.077,19.0,2,0,1,0
TXN-00348,101.86,10,0.093,36.5,1,0,1,0
TXN-00349,39.96,5,0.126,6.2,6,0,1,1
TXN-00350,73.71,19,0.141,49.7,3,0,1,0
TXN-00351,112.79,9,0.327,27.9,2,1,1,0
TXN-00352,28.38,17,0.123,1.6,1,0,0,0
TXN-00353,3.76,1,0.178,30.2,2,0,0,0
TXN-00354,25.98,10,0.088,15.1,2,0,0,0
TXN-00355,124.46,21,0.235,14.7,3,0,1,0
TXN-00356,23.05,22,0.164,30.7,0,0,0,0
TXN-00357,119.74,5,0.173,8.0,2,0,1,0
TXN-00358,26.1,9,0.398,1.4,5,0,1,0
TXN-00359,48.88,9,0.032,58.3,3,0,0,0
TXN-00360,57.72,13,0.085,58.3,0,0,0,0
TXN-00361,22.95,12,0.217,26.9,3,0,1,0
TXN-00362,49.32,2,0.128,27.8,0,0,0,0
TXN-00363,12.37,18,0.157,29.1,3,0,1,0
TXN-00364,43.87,5,0.235,88.7,3,0,1,1
TXN-00365,54.09,7,0.295,1.6,4,0,1,0
TXN-00366,4.05,20,0.143,0.9,1,0,1,0
TXN-00367,25.78,16,0.277,5.7,0,0,0,0
TXN-00368,72.06,9,0.123,16.3,5,0,1,1
TXN-00369,20.49,21,0.181,25.9,4,0,1,0
TXN-00370,81.0,9,0.184,13.2,1,0,0,0
TXN-00371,86.81,13,0.219,20.1,1,0,0,0
TXN-00372,71.83,5,0.159,10.8,1,0,0,0
TXN-00373,101.01,4,0.026,11.6,2,0,0,0
TXN-00374,11.48,11,0.281,8.3,2,0,0,0
TXN-00375,116.31,13,0.518,16.8,2,1,1,1
TXN-00376,23.3,19,0.292,2.4,5,0,1,1
TXN-00377,62.92,9,0.085,1.5,4,0,0,0
TXN-00378,183.09,21,0.321,12.5,2,0,1,1
TXN-00379,43.1,14,0.278,7.9,3,0,1,0
TXN-00380,58.85,1,0.304,7.9,4,0,1,0
TXN-00381,23.44,17,0.148,41.7,2,0,1,1
TXN-00382,181.89,13,0.372,99.4,1,0,1,1
TXN-00383,25.83,9,0.226,17.3,2,0,0,0
TXN-00384,92.27,11,0.269,3.1,2,1,1,0
TXN-00385,134.98,7,0.095,27.6,0,0,1,0
TXN-00386,98.57,14,0.157,14.7,0,1,1,0
TXN-00387,75.13,13,0.396,25.6,3,0,1,0
TXN-00388,62.19,10,0.404,18.1,1,0,1,0
TXN-00389,17.51,6,0.256,2.1,0,0,1,0
TXN-00390,176.52,9,0.208,19.1,2,0,1,1
TXN-00391,70.64,11,0.002,18.6,3,0,1,0
TXN-00392,58.88,11,0.105,65.3,1,0,1,0
TXN-00393,21.56,7,0.177,43.1,1,0,1,0
TXN-00394,61.1,13,0.121,78.3,4,0,1,1
TXN-00395,56.05,5,0.151,51.4,0,0,1,0
TXN-00396,183.09,12,0.14,2.2,4,1,1,1
TXN-00397,58.85,2,0.045,1.2,2,0,1,0
TXN-00398,60.35,11,0.435,37.6,2,0,0,0
TXN-00399,21.82,18,0.192,27.4,2,0,0,0
TXN-00400,30.7,19,0.142,1.7,0,0,1,0
TXN-00401,84.62,16,0.174,2.6,0,0,1,0
TXN-00402,9.12,17,0.154,22.8,3,0,1,0
TXN-00403,115.88,1,0.081,10.7,0,0,1,0
TXN-00404,118.05,8,0.073,24.5,0,0,1,0
TXN-00405,27.88,15,0.075,7.7,1,0,1,0
TXN-00406,75.33,19,0.151,5.2,1,0,1,0
TXN-00407,137.98,13,0.199,58.9,2,0,0,0
TXN-00408,52.56,20,0.162,7.1,0,0,0,0
TXN-00409,45.07,6,0.122,43.2,3,0,0,0
TXN-00410,49.67,3,0.111,7.0,2,0,0,0
TXN-00411,70.52,2,0.131,0.1,2,0,1,0
TXN-00412,34.31,13,0.141,0.2,3,0,1,0
TXN-00413,41.99,15,0.126,12.7,3,0,1,0
TXN-00414,71.57,6,0.152,21.7,0,0,1,0
TXN-00415,39.18,18,0.281,1.9,1,0,1,0
TXN-00416,20.0,17,0.198,8.6,0,0,1,0
TXN-00417,8.17,8,0.257,10.1,1,0,1,0
TXN-00418,59.74,5,0.116,9.9,3,0,0,0
TXN-00419,132.19,17,0.252,28.2,2,0,1,0
TXN-00420,78.11,16,0.328,8.8,4,0,1,0
TXN-00421,20.77,4,0.478,15.9,3,1,0,1
TXN-00422,30.5,6,0.199,14.5,1,0,0,0
TXN-00423,44.8,11,0.125,8.8,1,0,1,0
TXN-00424,186.97,12,0.242,2.4,4,0,1,1
TXN-00425,193.7,3,0.22,6.2,2,0,0,0
TXN-00426,178.87,22,0.493,0.1,2,0,1,0
TXN-00427,64.46,9,0.263,10.5,2,0,1,0
TXN-00428,352.12,9,0.096,20.6,1,0,0,1
TXN-00429,31.86,1,0.402,17.3,0,0,1,0
TXN-00430,43.46,21,0.291,37.7,3,0,1,0
TXN-00431,109.77,5,0.006,14.8,4,0,1,0
TXN-00432,71.85,23,0.255,5.2,3,0,1,0
TXN-00433,74.9,11,0.253,4.7,0,0,1,0
TXN-00434,24.26,20,0.534,23.5,1,0,1,0
TXN-00435,55.73,4,0.086,2.1,3,0,1,0
TXN-00436,32.27,3,0.173,1.9,0,0,1,0
TXN-00437,16.28,19,0.14,57.5,3,0,0,0
TXN-00438,35.7,19,0.066,12.1,2,0,0,0
TXN-00439,71.86,13,0.162,11.5,0,0,1,0
TXN-00440,97.56,0,0.299,18.3,5,0,0,0
TXN-00441,7.81,22,0.203,41.8,4,0,1,0
TXN-00442,57.78,9,0.459,32.5,0,0,1,0
TXN-00443,53.78,22,0.051,12.0,2,0,1,0
TXN-00444,69.13,20,0.386,23.9,2,0,1,0
TXN-00445,21.15,20,0.42,12.2,3,0,1,0
TXN-00446,21.57,16,0.141,40.6,3,0,1,0
TXN-00447,134.61,16,0.382,20.1,3,1,1,1
TXN-00448,28.21,12,0.169,16.7,2,0,1,0
TXN-00449,41.76,0,0.25,17.4,3,0,1,0
TXN-00450,45.35,9,0.349,2.4,3,1,1,0
TXN-00451,32.81,17,0.254,41.8,3,1,1,0
TXN-00452,82.76,19,0.079,54.5,2,0,1,0
TXN-00453,77.77,13,0.131,3.6,1,0,1,0
TXN-00454,51.92,17,0.187,0.9,4,0,0,0
TXN-00455,34.49,0,0.398,9.8,3,0,0,0
TXN-00456,48.73,11,0.091,8.7,2,0,0,0
TXN-00457,61.55,12,0.339,16.6,0,0,1,0
TXN-00458,30.53,21,0.508,3.8,3,0,1,0
TXN-00459,87.21,7,0.158,7.2,4,0,0,0
TXN-00460,115.29,5,0.018,12.6,1,0,1,0
TXN-00461,150.28,8,0.359,1.8,4,0,1,0
TXN-00462,144.17,4,0.148,3.7,1,0,1,1
TXN-00463,45.12,13,0.131,25.2,0,0,1,0
TXN-00464,63.89,15,0.493,2.1,6,0,1,1
TXN-00465,51.14,19,0.069,55.3,4,0,1,1
TXN-00466,51.0,23,0.038,19.7,2,0,1,0
TXN-00467,48.46,1,0.144,35.8,2,0,1,1
TXN-00468,58.61,5,0.608,3.5,4,0,1,0
TXN-00469,128.42,7,0.096,7.3,4,0,0,0
TXN-00470,73.47,5,0.282,30.1,0,0,1,0
TXN-00471,20.25,19,0.17,10.8,2,0,1,0
TXN-00472,111.97,3,0.241,72.7,3,0,1,0
TXN-00473,68.43,0,0.15,23.9,0,0,1,0
TXN-00474,83.44,20,0.115,80.8,4,0,0,1
TXN-00475,72.41,23,0.257,5.0,4,0,1,1
TXN-00476,74.86,5,0.11,49.1,2,0,1,0
TXN-00477,77.4,7,0.348,2.8,2,0,1,0
TXN-00478,9.97,12,0.101,32.3,1,0,1,0
